Country,Region,Year,VALUE
Marshall Islands,Oceania,1992,4.16536499
Malta,Europe,1992,1.613425854
Montserrat,Americas,1992,19.78630787
Mauritius,Africa,1992,2.771038889
Malaysia,Asia,1992,1.975526359
Nicaragua,Americas,1992,18.65750868
Netherlands (Kingdom of the),Europe,1992,1.273869795
Norway,Europe,1992,1.073122322
New Zealand,Oceania,1992,1.885222856
Panama,Americas,1992,12.17515626
Philippines,Asia,1992,12.84869396
Poland,Europe,1992,2.240389507
Puerto Rico,Americas,1992,23.91610099
Portugal,Europe,1992,1.429710652
Qatar,Asia,1992,1.273094734
Romania,Europe,1992,3.679669144
Russian Federation,Europe,1992,22.80172329
Singapore,Asia,1992,1.331998856
Sao Tome and Principe,Africa,1992,9.550490258
Slovenia,Europe,1992,2.410437193
Sweden,Europe,1992,1.319402908
Eswatini,Africa,1992,18.80745597
Turks and Caicos Islands,Americas,1992,7.68403258
Thailand,Asia,1992,10.4649478
Tajikistan,Asia,1992,10.69621202
Turkmenistan,Asia,1992,7.538769907
Ukraine,Europe,1992,6.507656615
Uruguay,Americas,1992,5.770940587
United States of America,Americas,1992,9.311244611
Uzbekistan,Asia,1992,5.303838617
Saint Vincent and the Grenadines,Americas,1992,15.89804057
Venezuela (Bolivarian Republic of),Americas,1992,15.77742641
British Virgin Islands,Americas,1992,0
Zambia,Africa,1992,9.511615689
Anguilla,Americas,1993,10.96310914
Albania,Europe,1993,5.786632032
Armenia,Asia,1993,7.75160166
Antigua and Barbuda,Americas,1993,6.075933985
Australia,Oceania,1993,1.888663995
Austria,Europe,1993,1.011982121
Azerbaijan,Asia,1993,6.175625221
Belgium,Europe,1993,1.4407883
Bulgaria,Europe,1993,5.690041823
Bahamas,Americas,1993,12.14584031
Belarus,Europe,1993,7.21340732
Bermuda,Americas,1993,5.107295772
Brazil,Americas,1993,17.68025536
Barbados,Americas,1993,8.046115738
Bhutan,Asia,1993,3.647967314
Canada,Americas,1993,2.183606646
Switzerland,Europe,1993,1.513814422
Colombia,Americas,1993,82.16443084
Costa Rica,Americas,1993,4.698458788
Cuba,Americas,1993,7.397886566
Cayman Islands,Americas,1993,6.658122077
Cyprus,Asia,1993,0.605337503
Germany,Europe,1993,1.673006883
Denmark,Europe,1993,1.367020834
Dominican Republic,Americas,1993,12.27548728
Ecuador,Americas,1993,8.317742058
Egypt,Africa,1993,0.397509376
Spain,Europe,1993,1.201901528
Estonia,Europe,1993,18.74456607
Finland,Europe,1993,2.565820702
Fiji,Oceania,1993,1.900662508
France,Europe,1993,2.662402523
United Kingdom (England and Wales),Europe,1993,1.110111335
United Kingdom (Northern Ireland),Europe,1993,6.175285164
United Kingdom (Scotland),Europe,1993,2.23860374
Georgia,Asia,1993,17.12331773
Greece,Europe,1993,1.419991838
Greenland,Americas,1993,21.54089179
Guatemala,Americas,1993,32.86252419
Guyana,Americas,1993,15.65867829
"China, Hong Kong Special Administrative Region",Asia,1993,1.41219559
Honduras,Americas,1993,22.78622867
Croatia,Europe,1993,4.548866195
Hungary,Europe,1993,2.877164113
India,Asia,1993,5.175898188
Ireland,Europe,1993,0.648673041
Iraq,Asia,1993,5.794001581
Israel,Asia,1993,2.704777558
Italy,Europe,1993,1.883260564
Jamaica,Americas,1993,26.71750448
Jordan,Asia,1993,4.048325723
Japan,Asia,1993,0.573010437
Kazakhstan,Asia,1993,15.22995375
Cambodia,Asia,1993,5.847581566
Kiribati,Oceania,1993,0
Republic of Korea,Asia,1993,0.681976114
Saint Lucia,Americas,1993,5.383743115
